Wavelength (nm), QE (%)
4.020000000000000000e+02,7.364319205249259426e+01
4.030000000000000000e+02,7.444005315550097635e+01
4.040000000000000000e+02,7.509515474666027046e+01
4.050000000000000000e+02,7.563913338549376419e+01
4.060000000000000000e+02,7.614525216668167218e+01
4.070000000000000000e+02,7.663253313794231758e+01
4.080000000000000000e+02,7.715595138723746516e+01
4.090000000000000000e+02,7.769588094363568587e+01
4.100000000000000000e+02,7.804750280141892915e+01
4.110000000000000000e+02,7.839861450890511207e+01
4.120000000000000000e+02,7.872313473378865467e+01
4.130000000000000000e+02,7.904611607746623747e+01
4.140000000000000000e+02,7.931646312468531335e+01
4.150000000000000000e+02,7.958681017190437501e+01
4.160000000000000000e+02,7.985580342788779262e+01
4.170000000000000000e+02,8.009366582645463950e+01
4.180000000000000000e+02,8.033152822502148638e+01
4.190000000000000000e+02,8.056939062358833326e+01
4.200000000000000000e+02,8.079161538138095011e+01
4.210000000000000000e+02,8.100782937215674906e+01
4.220000000000000000e+02,8.122404336293254801e+01
4.230000000000000000e+02,8.144025735370836117e+01
4.240000000000000000e+02,8.164194029745102910e+01
4.250000000000000000e+02,8.183847948398157257e+01
4.260000000000000000e+02,8.203501867051211605e+01
4.270000000000000000e+02,8.222625680041620910e+01
4.280000000000000000e+02,8.236134635891573907e+01
4.290000000000000000e+02,8.249643591741526905e+01
4.300000000000000000e+02,8.263152547591479902e+01
4.310000000000000000e+02,8.276607307298809246e+01
4.320000000000000000e+02,8.289575754070415314e+01
4.330000000000000000e+02,8.302544200842022803e+01
4.340000000000000000e+02,8.315512647613630293e+01
4.350000000000000000e+02,8.328481094385237782e+01
4.360000000000000000e+02,8.340983602018812348e+01
4.370000000000000000e+02,8.349989536518361888e+01
4.380000000000000000e+02,8.358995471017911427e+01
4.390000000000000000e+02,8.368001405517460967e+01
4.400000000000000000e+02,8.377007340017010506e+01
4.410000000000000000e+02,8.386013274516558624e+01
4.420000000000000000e+02,8.394937135326753719e+01
4.430000000000000000e+02,8.403342876844784826e+01
4.440000000000000000e+02,8.411748618362814511e+01
